job_id,job_title,job_category,experience_level,years_of_experience,education_required,annual_salary_usd,country,remote_work,company_size,industry,ai_salary_premium_pct,demand_score,demand_growth_yoy_pct,benefits_score_10,posting_year,posting_month,is_remote_friendly,is_llm_role,salary_tier
AIJOB0028,ML Engineer,AI Engineering,Mid (3-5 yrs),6,Bachelor's,224000,USA,Hybrid,SME (51-500),Energy,15.5,97,23.4,9.1,2026,1,1,0,Senior ($200-300k)
AIJOB0029,AI Business Analyst,Business,Lead (10+ yrs),3,Bootcamp/Self-taught,216000,USA,Hybrid,Mid-size (501-5000),Manufacturing,14.6,78,6.7,8.5,2025,7,1,0,Senior ($200-300k)
AIJOB0030,AI Ethics Officer,Governance,Senior (6-9 yrs),10,Bootcamp/Self-taught,208000,USA,Hybrid,Enterprise (5000+),Research,11.2,72,11.1,9.6,2025,8,1,0,Senior ($200-300k)
AIJOB0031,NLP Engineer,AI Engineering,Lead (10+ yrs),8,PhD,348000,Switzerland,On-site,Big Tech (FAANG+),Media,9.6,91,21.2,8.7,2026,1,0,0,Elite (>$300k)
AIJOB0032,AI Infrastructure Eng,Infrastructure,Lead (10+ yrs),4,Bachelor's,285000,Global,Hybrid,Enterprise (5000+),Research,11.5,85,16.3,7.2,2025,12,1,0,Senior ($200-300k)
AIJOB0033,Deep Learning Engineer,AI Engineering,Mid (3-5 yrs),10,Master's,141000,Canada,Hybrid,Startup (1-50),Healthcare,8,89,8.2,6.2,2025,5,1,0,Mid ($100-150k)
AIJOB0034,AI Infrastructure Eng,Infrastructure,Entry (0-2 yrs),6,Bachelor's,160000,USA,Hybrid,Enterprise (5000+),Government,13.8,85,22.2,6.6,2026,2,1,0,Upper-Mid ($150-200k)
AIJOB0035,Senior ML Engineer,AI Engineering,Lead (10+ yrs),8,Associate's,223000,UK,Hybrid,Startup (1-50),Automotive,10.6,96,20.9,6.9,2026,1,1,0,Senior ($200-300k)
AIJOB0036,AI Engineer,AI Engineering,Lead (10+ yrs),4,PhD,221000,Netherlands,Hybrid,Enterprise (5000+),Finance,14.5,95,81.3,9.1,2025,3,1,0,Senior ($200-300k)
AIJOB0037,MLOps Engineer,ML Operations,Senior (6-9 yrs),8,Bootcamp/Self-taught,130000,China,Fully Remote,Big Tech (FAANG+),Technology,15.3,93,59.1,6.1,2025,11,1,0,Mid ($100-150k)
AIJOB0038,AI Business Analyst,Business,Senior (6-9 yrs),8,Associate's,95000,India,Hybrid,Startup (1-50),Government,12.9,78,7.3,7.3,2025,11,1,0,Entry (<$100k)
AIJOB0039,Data Scientist,Data Science,Lead (10+ yrs),5,Bootcamp/Self-taught,198000,USA,Fully Remote,Mid-size (501-5000),Government,8.8,92,15.1,9.3,2026,1,1,0,Upper-Mid ($150-200k)
AIJOB0040,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),6,Bootcamp/Self-taught,238000,UAE,Hybrid,Mid-size (501-5000),Consulting,4.7,89,9,8.1,2026,1,1,0,Senior ($200-300k)
AIJOB0041,NLP Engineer,AI Engineering,Entry (0-2 yrs),7,Master's,192000,USA,Hybrid,Enterprise (5000+),Energy,9.2,91,78.1,7,2026,2,1,0,Upper-Mid ($150-200k)
AIJOB0042,AI Product Manager,Product,Entry (0-2 yrs),10,PhD,149000,UAE,Hybrid,Mid-size (501-5000),Media,17.3,85,26.7,9.7,2025,7,1,0,Mid ($100-150k)
AIJOB0043,NLP Engineer,AI Engineering,Senior (6-9 yrs),9,Bootcamp/Self-taught,164000,Netherlands,Hybrid,Startup (1-50),Finance,6.2,91,67.7,7.6,2026,1,1,0,Upper-Mid ($150-200k)
AIJOB0044,Senior ML Engineer,AI Engineering,Senior (6-9 yrs),6,Associate's,272000,Global,Hybrid,Mid-size (501-5000),Consulting,10.9,96,31.6,6.3,2026,3,1,0,Senior ($200-300k)
AIJOB0045,AI Infrastructure Eng,Infrastructure,Mid (3-5 yrs),3,PhD,275000,USA,Hybrid,Enterprise (5000+),Media,14.8,85,9.5,6.7,2026,2,1,0,Senior ($200-300k)
AIJOB0046,RAG Engineer,AI Engineering,Mid (3-5 yrs),4,Master's,189000,UK,Fully Remote,Enterprise (5000+),Consulting,7.8,94,48.3,7.1,2026,2,1,1,Upper-Mid ($150-200k)
AIJOB0047,Data Scientist,Data Science,Senior (6-9 yrs),7,Associate's,146000,UK,Fully Remote,Enterprise (5000+),Energy,4.5,92,28.9,7,2026,3,1,0,Mid ($100-150k)
AIJOB0048,Multimodal AI Engineer,AI Engineering,Entry (0-2 yrs),3,PhD,180000,USA,Fully Remote,Startup (1-50),Healthcare,16.8,90,14.1,7.9,2025,3,1,0,Upper-Mid ($150-200k)
AIJOB0049,Computer Vision Engineer,AI Engineering,Senior (6-9 yrs),4,Bachelor's,234000,Global,On-site,Mid-size (501-5000),Media,5.6,87,23.7,7,2025,11,0,0,Senior ($200-300k)
AIJOB0050,Data Engineer (AI),Data Engineering,Lead (10+ yrs),6,Bachelor's,240000,USA,On-site,SME (51-500),Healthcare,8.4,88,29.9,6.4,2025,9,0,0,Senior ($200-300k)
AIJOB0051,Senior Data Scientist,Data Science,Senior (6-9 yrs),7,Associate's,169000,Australia,Hybrid,Enterprise (5000+),Automotive,9.7,90,26.4,6.4,2026,3,1,0,Upper-Mid ($150-200k)
AIJOB0052,AI Agent Developer,AI Engineering,Lead (10+ yrs),2,PhD,257000,Singapore,On-site,Startup (1-50),Automotive,15.7,96,30.1,6.8,2026,2,0,1,Senior ($200-300k)
AIJOB0053,AI Compliance Manager,Governance,Entry (0-2 yrs),5,PhD,188000,USA,On-site,Big Tech (FAANG+),Healthcare,15.9,68,10.9,7.2,2025,1,0,0,Upper-Mid ($150-200k)
AIJOB0054,Senior Data Scientist,Data Science,Entry (0-2 yrs),10,Bachelor's,157000,Netherlands,Hybrid,Big Tech (FAANG+),Education,3.2,90,30,9.2,2026,1,1,0,Upper-Mid ($150-200k)
AIJOB0055,AI Ethics Officer,Governance,Entry (0-2 yrs),5,PhD,110000,Switzerland,Hybrid,Startup (1-50),Media,9,72,22.5,9.2,2026,3,1,0,Mid ($100-150k)
AIJOB0056,Generative AI Engineer,AI Engineering,Lead (10+ yrs),8,Master's,354000,USA,Fully Remote,Enterprise (5000+),Consulting,8.7,95,75.7,6.4,2025,12,1,1,Elite (>$300k)
AIJOB0057,Data Engineer (AI),Data Engineering,Entry (0-2 yrs),6,Associate's,160000,USA,Hybrid,Big Tech (FAANG+),Energy,9,88,17.7,6.6,2026,1,1,0,Upper-Mid ($150-200k)
AIJOB0058,Data Engineer (AI),Data Engineering,Entry (0-2 yrs),8,PhD,130000,Japan,Fully Remote,Mid-size (501-5000),Retail,11.1,88,13.5,6,2026,3,1,0,Mid ($100-150k)
AIJOB0059,Multimodal AI Engineer,AI Engineering,Mid (3-5 yrs),7,Bachelor's,160000,Australia,Fully Remote,Startup (1-50),Retail,15.8,90,19.2,6.3,2025,3,1,0,Upper-Mid ($150-200k)
AIJOB0060,AI Compliance Manager,Governance,Entry (0-2 yrs),9,PhD,100000,China,Hybrid,Startup (1-50),Finance,9.1,68,22,8.3,2026,2,1,0,Entry (<$100k)
AIJOB0061,ML Engineer,AI Engineering,Entry (0-2 yrs),6,Bachelor's,120000,UK,Hybrid,Enterprise (5000+),Research,9.3,97,53.9,6.9,2026,3,1,0,Mid ($100-150k)
AIJOB0062,Data Engineer (AI),Data Engineering,Entry (0-2 yrs),2,Bootcamp/Self-taught,130000,USA,On-site,Enterprise (5000+),Government,11.2,88,25,8.3,2026,2,0,0,Mid ($100-150k)
AIJOB0063,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),6,Bootcamp/Self-taught,180000,Netherlands,Hybrid,Startup (1-50),Manufacturing,17.6,96,62.1,6.6,2025,5,1,0,Upper-Mid ($150-200k)
AIJOB0064,Deep Learning Engineer,AI Engineering,Mid (3-5 yrs),10,Bachelor's,222000,USA,Hybrid,Big Tech (FAANG+),Finance,7.4,89,24.9,8.2,2025,2,1,0,Senior ($200-300k)
AIJOB0065,MLOps Engineer,ML Operations,Entry (0-2 yrs),5,Bachelor's,131000,Switzerland,Hybrid,Enterprise (5000+),Energy,15.9,93,80.4,7.7,2026,3,1,0,Mid ($100-150k)
AIJOB0066,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),3,Associate's,247000,Canada,Hybrid,Big Tech (FAANG+),Education,7.3,89,14.1,9.5,2025,6,1,0,Senior ($200-300k)
AIJOB0067,Multimodal AI Engineer,AI Engineering,Senior (6-9 yrs),7,Bachelor's,160000,China,On-site,Startup (1-50),Consulting,11.5,90,29.2,8.7,2025,10,0,0,Upper-Mid ($150-200k)
AIJOB0068,AI Infrastructure Eng,Infrastructure,Lead (10+ yrs),8,PhD,324000,USA,On-site,Mid-size (501-5000),Retail,10.1,85,28.7,7.8,2025,3,0,0,Elite (>$300k)
AIJOB0069,Senior Data Scientist,Data Science,Entry (0-2 yrs),5,Associate's,157000,USA,Fully Remote,Mid-size (501-5000),Healthcare,3.3,90,14.1,8.7,2026,3,1,0,Upper-Mid ($150-200k)
AIJOB0070,MLOps Engineer,ML Operations,Mid (3-5 yrs),9,PhD,191000,Switzerland,Fully Remote,SME (51-500),Government,16.2,93,73.5,6.5,2025,11,1,0,Upper-Mid ($150-200k)
AIJOB0071,AI Ethics Officer,Governance,Entry (0-2 yrs),8,Associate's,126000,Singapore,Fully Remote,Big Tech (FAANG+),Automotive,16.8,72,28.3,7.6,2025,6,1,0,Mid ($100-150k)
AIJOB0072,NLP Engineer,AI Engineering,Senior (6-9 yrs),4,Master's,167000,Australia,On-site,Startup (1-50),Energy,3.6,91,33.7,9.2,2026,3,0,0,Upper-Mid ($150-200k)
AIJOB0073,RAG Engineer,AI Engineering,Entry (0-2 yrs),2,PhD,157000,UAE,Hybrid,Enterprise (5000+),Education,3.1,94,52.6,6.9,2025,7,1,1,Upper-Mid ($150-200k)
AIJOB0074,AI Engineer,AI Engineering,Mid (3-5 yrs),7,Associate's,100000,China,Hybrid,Mid-size (501-5000),Manufacturing,8.2,95,72.6,7.3,2026,3,1,0,Entry (<$100k)
AIJOB0075,Data Scientist,Data Science,Mid (3-5 yrs),4,Bachelor's,138000,India,Fully Remote,Mid-size (501-5000),Finance,9.6,92,17.7,6.8,2026,1,1,0,Mid ($100-150k)
AIJOB0076,AI Product Manager,Product,Lead (10+ yrs),4,Associate's,258000,France,Fully Remote,Big Tech (FAANG+),Government,15.4,85,27.4,7.5,2026,2,1,0,Senior ($200-300k)
AIJOB0077,AI Infrastructure Eng,Infrastructure,Senior (6-9 yrs),3,Bachelor's,248000,Global,Hybrid,Mid-size (501-5000),Education,12.3,85,22.2,7.3,2025,6,1,0,Senior ($200-300k)
AIJOB0078,RAG Engineer,AI Engineering,Entry (0-2 yrs),5,Bachelor's,145000,Netherlands,On-site,Mid-size (501-5000),Finance,7.5,94,41.4,9.6,2025,3,0,1,Mid ($100-150k)
AIJOB0079,Multimodal AI Engineer,AI Engineering,Senior (6-9 yrs),7,Bootcamp/Self-taught,244000,Switzerland,On-site,Mid-size (501-5000),Finance,9.9,90,17.9,9.5,2025,5,0,0,Senior ($200-300k)
AIJOB0080,AI Infrastructure Eng,Infrastructure,Senior (6-9 yrs),4,Bootcamp/Self-taught,167000,Switzerland,Hybrid,SME (51-500),Consulting,8.6,85,18.6,9.4,2026,3,1,0,Upper-Mid ($150-200k)
AIJOB0081,AI Infrastructure Eng,Infrastructure,Mid (3-5 yrs),9,Bachelor's,196000,USA,On-site,Mid-size (501-5000),Media,16.8,85,6.6,7.5,2026,2,0,0,Upper-Mid ($150-200k)
AIJOB0082,AI Security Engineer,Security,Entry (0-2 yrs),4,Master's,146000,Netherlands,Fully Remote,Enterprise (5000+),Media,8.6,80,8.1,6.6,2025,6,1,0,Mid ($100-150k)
AIJOB0083,AI Infrastructure Eng,Infrastructure,Senior (6-9 yrs),8,Bachelor's,179000,UK,Hybrid,Mid-size (501-5000),Consulting,17,85,13.4,9.5,2025,1,1,0,Upper-Mid ($150-200k)
AIJOB0084,Senior ML Engineer,AI Engineering,Senior (6-9 yrs),11,Master's,374400,USA,Hybrid,Big Tech (FAANG+),Consulting,12.5,96,65.3,6.6,2026,2,1,0,Elite (>$300k)
AIJOB0085,Deep Learning Engineer,AI Engineering,Mid (3-5 yrs),8,PhD,253000,Canada,Hybrid,Big Tech (FAANG+),Finance,4.7,89,7.4,7.1,2025,10,1,0,Senior ($200-300k)
AIJOB0086,Prompt Engineer,AI Engineering,Senior (6-9 yrs),2,Associate's,121000,UK,Fully Remote,SME (51-500),Finance,6.5,82,29.2,6.8,2025,1,1,1,Mid ($100-150k)
AIJOB0087,MLOps Engineer,ML Operations,Lead (10+ yrs),9,PhD,312000,Global,Hybrid,Big Tech (FAANG+),Technology,13.7,93,29.2,8.1,2025,9,1,0,Elite (>$300k)
AIJOB0088,AI Solutions Architect,Architecture,Entry (0-2 yrs),12,Master's,180000,Japan,On-site,Mid-size (501-5000),Technology,15.1,84,25.1,8,2025,9,0,0,Upper-Mid ($150-200k)
AIJOB0089,Senior Data Scientist,Data Science,Senior (6-9 yrs),9,Master's,244000,Canada,Hybrid,Big Tech (FAANG+),Manufacturing,9.9,90,19.6,9,2026,3,1,0,Senior ($200-300k)
AIJOB0090,AI Agent Developer,AI Engineering,Lead (10+ yrs),6,PhD,348000,USA,On-site,Big Tech (FAANG+),Consulting,13.7,96,66.1,6.7,2026,2,0,1,Elite (>$300k)
AIJOB0091,Senior Data Scientist,Data Science,Lead (10+ yrs),12,Associate's,183000,Netherlands,Fully Remote,SME (51-500),Manufacturing,6.2,90,18.3,8.1,2026,3,1,0,Upper-Mid ($150-200k)
AIJOB0092,Multimodal AI Engineer,AI Engineering,Lead (10+ yrs),5,Master's,360000,Germany,Hybrid,Big Tech (FAANG+),Manufacturing,17.3,90,23,7.1,2026,3,1,0,Elite (>$300k)
AIJOB0093,LLM Engineer,AI Engineering,Mid (3-5 yrs),7,PhD,181000,Australia,Hybrid,Mid-size (501-5000),Media,6.9,98,34.8,6.4,2026,1,1,1,Upper-Mid ($150-200k)
AIJOB0094,NLP Engineer,AI Engineering,Mid (3-5 yrs),9,Master's,295000,USA,Hybrid,Big Tech (FAANG+),Healthcare,9.5,91,79.1,7.8,2025,5,1,0,Senior ($200-300k)
AIJOB0095,AI Product Manager,Product,Entry (0-2 yrs),9,Associate's,140000,France,Fully Remote,Startup (1-50),Research,17.3,85,26.9,6,2026,1,1,0,Mid ($100-150k)
AIJOB0096,AI Product Manager,Product,Lead (10+ yrs),7,Master's,281000,France,Fully Remote,Enterprise (5000+),Technology,15.9,85,19.2,8.9,2025,11,1,0,Senior ($200-300k)
AIJOB0097,LLM Engineer,AI Engineering,Senior (6-9 yrs),2,Bachelor's,283000,Netherlands,On-site,Big Tech (FAANG+),Government,8.3,98,84.6,7.1,2026,1,0,1,Senior ($200-300k)
AIJOB0098,Computer Vision Engineer,AI Engineering,Entry (0-2 yrs),5,Bachelor's,145000,Singapore,Fully Remote,SME (51-500),Automotive,6.3,87,16.4,9.8,2025,12,1,0,Mid ($100-150k)
AIJOB0099,Robotics Engineer (AI),Robotics,Mid (3-5 yrs),4,Master's,252000,Global,Hybrid,Big Tech (FAANG+),Healthcare,13.2,76,7.9,6.8,2026,1,1,0,Senior ($200-300k)
AIJOB0100,AI Security Engineer,Security,Lead (10+ yrs),10,Master's,233000,Switzerland,On-site,Startup (1-50),Research,8.7,80,15.6,8.7,2026,1,0,0,Senior ($200-300k)
AIJOB0101,Senior ML Engineer,AI Engineering,Senior (6-9 yrs),7,Bootcamp/Self-taught,214000,Global,On-site,Startup (1-50),Finance,13.4,96,53.6,8.8,2025,1,0,0,Senior ($200-300k)
AIJOB0102,AI Compliance Manager,Governance,Lead (10+ yrs),9,Associate's,240000,USA,Fully Remote,Mid-size (501-5000),Automotive,15.3,68,7.8,9.1,2026,1,1,0,Senior ($200-300k)
AIJOB0103,NLP Engineer,AI Engineering,Entry (0-2 yrs),3,Associate's,145000,USA,Fully Remote,Startup (1-50),Automotive,8.4,91,25.2,9.8,2025,12,1,0,Mid ($100-150k)
AIJOB0104,AI Business Analyst,Business,Senior (6-9 yrs),3,Master's,177000,Canada,Fully Remote,Big Tech (FAANG+),Energy,17.1,78,20.6,7.6,2026,2,1,0,Upper-Mid ($150-200k)
AIJOB0105,AI Agent Developer,AI Engineering,Senior (6-9 yrs),4,Bootcamp/Self-taught,261000,Australia,Hybrid,Big Tech (FAANG+),Media,12.2,96,53.7,7.5,2025,6,1,1,Senior ($200-300k)
AIJOB0106,AI Agent Developer,AI Engineering,Senior (6-9 yrs),3,Bachelor's,323000,USA,Fully Remote,Enterprise (5000+),Energy,13.6,96,50,9.3,2025,1,1,1,Elite (>$300k)
AIJOB0107,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),6,Master's,298000,USA,Hybrid,Startup (1-50),Manufacturing,6.5,89,7.5,9.7,2026,2,1,0,Senior ($200-300k)
AIJOB0108,Deep Learning Engineer,AI Engineering,Lead (10+ yrs),6,Bachelor's,253000,Singapore,On-site,Mid-size (501-5000),Manufacturing,7,89,11.1,8.1,2026,2,0,0,Senior ($200-300k)
AIJOB0109,Computer Vision Engineer,AI Engineering,Lead (10+ yrs),8,Master's,336000,Global,Fully Remote,Enterprise (5000+),Finance,7.7,87,24.1,7.6,2026,1,1,0,Elite (>$300k)
AIJOB0110,Senior ML Engineer,AI Engineering,Mid (3-5 yrs),5,Associate's,180000,USA,Hybrid,Startup (1-50),Research,17.8,96,16.3,9.1,2026,1,1,0,Upper-Mid ($150-200k)
AIJOB0111,Data Scientist,Data Science,Mid (3-5 yrs),6,Master's,217000,USA,On-site,Big Tech (FAANG+),Research,7.8,92,76.9,8.5,2026,1,0,0,Senior ($200-300k)
AIJOB0112,Senior ML Engineer,AI Engineering,Lead (10+ yrs),5,Associate's,281000,Australia,Fully Remote,Enterprise (5000+),Media,10.3,96,80.8,8.6,2026,2,1,0,Senior ($200-300k)
AIJOB0113,ML Engineer,AI Engineering,Entry (0-2 yrs),8,Master's,187000,USA,Hybrid,Mid-size (501-5000),Healthcare,13.7,97,77,8.6,2026,2,1,0,Upper-Mid ($150-200k)
AIJOB0114,AI Compliance Manager,Governance,Senior (6-9 yrs),6,Bachelor's,137000,USA,Hybrid,Startup (1-50),Education,11.6,68,28.5,7.6,2026,3,1,0,Mid ($100-150k)
AIJOB0115,LLM Engineer,AI Engineering,Senior (6-9 yrs),2,Master's,360000,USA,On-site,Big Tech (FAANG+),Finance,5.2,98,41.3,7,2025,3,0,1,Elite (>$300k)
AIJOB0116,Prompt Engineer,AI Engineering,Lead (10+ yrs),3,Bachelor's,231000,Switzerland,Hybrid,Big Tech (FAANG+),Government,3.6,82,27.5,9.4,2026,3,1,1,Senior ($200-300k)
AIJOB0117,AI Security Engineer,Security,Mid (3-5 yrs),7,Master's,192000,USA,Fully Remote,Enterprise (5000+),Education,11.6,80,28.6,8.7,2026,3,1,0,Upper-Mid ($150-200k)
AIJOB0118,Deep Learning Engineer,AI Engineering,Mid (3-5 yrs),9,PhD,150000,Switzerland,Hybrid,Startup (1-50),Retail,9.6,89,10,7.2,2026,2,1,0,Mid ($100-150k)
AIJOB0119,MLOps Engineer,ML Operations,Mid (3-5 yrs),9,PhD,270000,Global,On-site,Big Tech (FAANG+),Research,16,93,75.7,6.3,2026,2,0,0,Senior ($200-300k)
AIJOB0120,Multimodal AI Engineer,AI Engineering,Senior (6-9 yrs),4,Master's,257000,Global,On-site,SME (51-500),Media,17.7,90,22.5,9.1,2026,1,0,0,Senior ($200-300k)
AIJOB0121,Data Scientist,Data Science,Mid (3-5 yrs),7,Associate's,138000,UK,Hybrid,Mid-size (501-5000),Research,7.1,92,57,7.7,2025,11,1,0,Mid ($100-150k)
AIJOB0122,AI Business Analyst,Business,Senior (6-9 yrs),4,Bachelor's,125000,UAE,Fully Remote,SME (51-500),Education,13.2,78,13.7,6.4,2026,2,1,0,Mid ($100-150k)
AIJOB0123,AI Product Manager,Product,Entry (0-2 yrs),6,Bachelor's,140000,USA,On-site,Mid-size (501-5000),Education,12.1,85,9.6,8.4,2026,1,0,0,Mid ($100-150k)
AIJOB0124,Generative AI Engineer,AI Engineering,Lead (10+ yrs),2,Associate's,150000,China,Hybrid,SME (51-500),Healthcare,10,95,23.3,8.5,2026,3,1,1,Mid ($100-150k)
AIJOB0125,AI Product Manager,Product,Lead (10+ yrs),6,Associate's,140000,China,On-site,Enterprise (5000+),Manufacturing,11.1,85,9.6,8.6,2026,2,0,0,Mid ($100-150k)
AIJOB0126,RAG Engineer,AI Engineering,Lead (10+ yrs),7,Bootcamp/Self-taught,336000,USA,Fully Remote,Big Tech (FAANG+),Manufacturing,7.3,94,78.2,9.6,2026,1,1,1,Elite (>$300k)
AIJOB0127,LLM Engineer,AI Engineering,Lead (10+ yrs),5,Bootcamp/Self-taught,327000,Japan,Hybrid,Big Tech (FAANG+),Automotive,4.2,98,48.4,8.8,2026,3,1,1,Elite (>$300k)
AIJOB0128,AI Security Engineer,Security,Entry (0-2 yrs),8,PhD,248000,USA,Fully Remote,Big Tech (FAANG+),Retail,8.3,80,11.6,9.3,2025,2,1,0,Senior ($200-300k)
AIJOB0129,AI Compliance Manager,Governance,Senior (6-9 yrs),5,Associate's,121000,UK,Fully Remote,SME (51-500),Manufacturing,10.9,68,19.3,9.6,2026,3,1,0,Mid ($100-150k)
AIJOB0130,Data Scientist,Data Science,Entry (0-2 yrs),3,PhD,168000,USA,Hybrid,Enterprise (5000+),Energy,7.4,92,42.4,6.3,2026,1,1,0,Upper-Mid ($150-200k)
AIJOB0131,LLM Engineer,AI Engineering,Senior (6-9 yrs),4,Bootcamp/Self-taught,232000,UAE,Fully Remote,Mid-size (501-5000),Automotive,8.8,98,51.1,7.2,2025,9,1,1,Senior ($200-300k)
